color,size,type,customer,class
YELLOW,SMALL,STRETCH,ADULT,positive
YELLOW,SMALL,STRETCH,CHILD,positive
YELLOW,SMALL,DIP,ADULT,positive
YELLOW,SMALL,DIP,CHILD,negative
YELLOW,SMALL,DIP,CHILD,negative
YELLOW,LARGE,STRETCH,ADULT,positive
YELLOW,LARGE,STRETCH,CHILD,positive
YELLOW,LARGE,DIP,ADULT,positive
YELLOW,LARGE,DIP,CHILD,negative
YELLOW,LARGE,DIP,CHILD,negative
PURPLE,SMALL,STRETCH,ADULT,positive
PURPLE,SMALL,STRETCH,CHILD,positive
PURPLE,SMALL,DIP,ADULT,positive
PURPLE,SMALL,DIP,CHILD,negative
PURPLE,SMALL,DIP,CHILD,negative
PURPLE,LARGE,STRETCH,ADULT,positive
PURPLE,LARGE,STRETCH,CHILD,positive
PURPLE,LARGE,DIP,ADULT,positive
PURPLE,LARGE,DIP,CHILD,negative
PURPLE,LARGE,DIP,CHILD,negative
